f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.24E+01,1.72E+03,7.06E+01,2.07E+00,3.49E+02,3.83E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.91E+00,1.99E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.86E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.71E+03,7.06E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.58E-01
7.24E+01,1.72E+03,7.07E+01,2.06E+00,3.48E+02,3.82E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.93E+00,2.28E-01
7.23E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.86E+00,2.85E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.72E+03,7.07E+01,2.06E+00,3.48E+02,3.82E+04,-1.05E+03,-1.48E+01,-1.89E+02,1.93E+00,2.29E-01
7.23E+01,1.71E+03,7.06E+01,2.05E+00,3.42E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.83E-01
7.24E+01,1.71E+03,7.07E+01,2.05E+00,3.43E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.87E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.45E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.52E-01
7.24E+01,1.71E+03,7.05E+01,2.06E+00,3.44E+02,3.80E+04,-1.03E+03,-1.48E+01,-1.89E+02,1.83E+00,2.56E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.23E+01,1.70E+03,7.06E+01,2.05E+00,3.42E+02,3.79E+04,-1.01E+03,-1.48E+01,-1.88E+02,1.85E+00,2.84E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.38E+02,3.77E+04,-9.98E+02,-1.47E+01,-1.88E+02,1.84E+00,2.80E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.23E+01,1.70E+03,7.06E+01,2.04E+00,3.42E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.84E+00,2.88E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.38E+02,3.77E+04,-9.98E+02,-1.47E+01,-1.88E+02,1.84E+00,2.80E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.39E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.84E+00,2.83E-01
7.25E+01,1.71E+03,7.13E+01,2.03E+00,3.46E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.88E+00,2.81E-01
7.24E+01,1.70E+03,7.04E+01,2.04E+00,3.38E+02,3.77E+04,-9.89E+02,-1.47E+01,-1.88E+02,1.84E+00,2.94E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.38E+02,3.77E+04,-9.97E+02,-1.48E+01,-1.88E+02,1.84E+00,2.81E-01
7.24E+01,1.70E+03,7.05E+01,2.04E+00,3.39E+02,3.77E+04,-9.96E+02,-1.48E+01,-1.88E+02,1.84E+00,2.94E-01
7.25E+01,1.70E+03,7.11E+01,2.03E+00,3.46E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.88E+00,2.74E-01
7.23E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.83E+00,2.89E-01
7.24E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.84E+00,2.93E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.38E+02,3.77E+04,-9.97E+02,-1.48E+01,-1.88E+02,1.84E+00,2.81E-01
7.25E+01,1.70E+03,7.10E+01,2.03E+00,3.45E+02,3.79E+04,-1.03E+03,-1.47E+01,-1.89E+02,1.87E+00,2.77E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.23E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.83E+00,2.89E-01
7.24E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.84E+00,2.93E-01
7.25E+01,1.70E+03,7.09E+01,2.04E+00,3.44E+02,3.79E+04,-1.02E+03,-1.47E+01,-1.89E+02,1.87E+00,2.77E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.23E+01,1.70E+03,7.03E+01,2.04E+00,3.38E+02,3.77E+04,-9.91E+02,-1.47E+01,-1.88E+02,1.83E+00,2.89E-01
7.24E+01,1.70E+03,7.04E+01,2.04E+00,3.39E+02,3.77E+04,-9.95E+02,-1.47E+01,-1.88E+02,1.84E+00,2.97E-01
7.23E+01,1.70E+03,7.02E+01,2.05E+00,3.41E+02,3.78E+04,-1.02E+03,-1.48E+01,-1.89E+02,1.89E+00,2.41E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.23E+01,1.70E+03,7.04E+01,2.04E+00,3.38E+02,3.77E+04,-9.90E+02,-1.47E+01,-1.88E+02,1.83E+00,2.91E-01
7.24E+01,1.70E+03,7.04E+01,2.04E+00,3.39E+02,3.77E+04,-9.95E+02,-1.47E+01,-1.88E+02,1.84E+00,2.97E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.40E+02,3.78E+04,-1.02E+03,-1.48E+01,-1.88E+02,1.80E+00,2.53E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.90E+02,-1.48E+01,-1.88E+02,1.83E+00,2.68E-01
7.24E+01,1.70E+03,7.02E+01,2.05E+00,3.36E+02,3.76E+04,-9.76E+02,-1.48E+01,-1.88E+02,1.89E+00,3.15E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.24E+01,1.70E+03,7.04E+01,2.04E+00,3.39E+02,3.77E+04,-9.95E+02,-1.47E+01,-1.88E+02,1.84E+00,2.97E-01
7.23E+01,1.69E+03,7.02E+01,2.04E+00,3.35E+02,3.75E+04,-9.63E+02,-1.47E+01,-1.88E+02,1.86E+00,3.22E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.90E+02,-1.48E+01,-1.88E+02,1.83E+00,2.68E-01
7.24E+01,1.69E+03,7.01E+01,2.04E+00,3.38E+02,3.76E+04,-9.91E+02,-1.48E+01,-1.88E+02,1.83E+00,2.82E-01
7.23E+01,1.69E+03,7.02E+01,2.03E+00,3.35E+02,3.75E+04,-9.62E+02,-1.47E+01,-1.87E+02,1.86E+00,3.24E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.87E+02,-1.47E+01,-1.88E+02,1.83E+00,2.66E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.40E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.85E+00,2.89E-01
7.23E+01,1.69E+03,7.01E+01,2.04E+00,3.35E+02,3.75E+04,-9.63E+02,-1.47E+01,-1.88E+02,1.86E+00,3.19E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.87E+02,-1.47E+01,-1.88E+02,1.83E+00,2.66E-01
7.24E+01,1.70E+03,7.03E+01,2.05E+00,3.40E+02,3.78E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.85E+00,2.89E-01
7.22E+01,1.72E+03,7.38E+01,2.05E+00,3.53E+02,3.84E+04,-1.08E+03,-1.50E+01,-1.89E+02,1.90E+00,3.15E-01
7.23E+01,1.69E+03,7.01E+01,2.04E+00,3.35E+02,3.75E+04,-9.63E+02,-1.47E+01,-1.88E+02,1.86E+00,3.19E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.87E+02,-1.47E+01,-1.88E+02,1.83E+00,2.66E-01
7.22E+01,1.69E+03,6.98E+01,2.06E+00,3.37E+02,3.76E+04,-9.64E+02,-1.46E+01,-1.88E+02,1.91E+00,2.73E-01
7.21E+01,1.72E+03,7.40E+01,2.04E+00,3.49E+02,3.82E+04,-1.05E+03,-1.51E+01,-1.89E+02,1.90E+00,3.41E-01
7.23E+01,1.69E+03,7.01E+01,2.03E+00,3.35E+02,3.75E+04,-9.62E+02,-1.47E+01,-1.88E+02,1.86E+00,3.18E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.87E+02,-1.47E+01,-1.88E+02,1.83E+00,2.66E-01
7.21E+01,1.70E+03,6.98E+01,2.08E+00,3.39E+02,3.78E+04,-9.96E+02,-1.47E+01,-1.88E+02,1.93E+00,2.40E-01
7.23E+01,1.69E+03,7.01E+01,2.03E+00,3.35E+02,3.75E+04,-9.62E+02,-1.47E+01,-1.88E+02,1.86E+00,3.18E-01
7.21E+01,1.69E+03,6.97E+01,2.05E+00,3.37E+02,3.75E+04,-9.69E+02,-1.46E+01,-1.88E+02,1.88E+00,2.47E-01
7.23E+01,1.69E+03,7.00E+01,2.04E+00,3.37E+02,3.76E+04,-9.87E+02,-1.47E+01,-1.88E+02,1.83E+00,2.66E-01
7.21E+01,1.70E+03,6.98E+01,2.08E+00,3.39E+02,3.78E+04,-9.96E+02,-1.47E+01,-1.88E+02,1.93E+00,2.40E-01
7.23E+01,1.68E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.84E+00,3.09E-01
7.23E+01,1.69E+03,7.01E+01,2.03E+00,3.35E+02,3.75E+04,-9.62E+02,-1.47E+01,-1.88E+02,1.86E+00,3.18E-01
7.21E+01,1.69E+03,6.97E+01,2.05E+00,3.37E+02,3.75E+04,-9.69E+02,-1.46E+01,-1.88E+02,1.88E+00,2.47E-01
7.23E+01,1.68E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.84E+00,3.09E-01
7.23E+01,1.69E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.61E+02,-1.47E+01,-1.87E+02,1.85E+00,2.99E-01
7.22E+01,1.70E+03,7.05E+01,2.06E+00,3.43E+02,3.78E+04,-1.01E+03,-1.46E+01,-1.88E+02,1.90E+00,2.67E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.84E+00,3.09E-01
7.24E+01,1.70E+03,7.01E+01,2.04E+00,3.39E+02,3.77E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.84E+00,2.61E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.84E+00,3.09E-01
7.23E+01,1.69E+03,7.01E+01,2.03E+00,3.35E+02,3.75E+04,-9.64E+02,-1.47E+01,-1.87E+02,1.85E+00,3.08E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.00E+01,2.01E+00,3.34E+02,3.73E+04,-9.52E+02,-1.47E+01,-1.87E+02,1.83E+00,3.09E-01
7.23E+01,1.69E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.57E+02,-1.47E+01,-1.87E+02,1.84E+00,3.11E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.01E+01,2.02E+00,3.33E+02,3.73E+04,-9.48E+02,-1.47E+01,-1.87E+02,1.82E+00,3.28E-01
7.23E+01,1.69E+03,7.00E+01,2.03E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.85E+00,3.16E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.01E+01,2.02E+00,3.33E+02,3.73E+04,-9.48E+02,-1.47E+01,-1.87E+02,1.82E+00,3.28E-01
7.23E+01,1.69E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.55E+02,-1.47E+01,-1.87E+02,1.84E+00,3.11E-01
7.24E+01,1.69E+03,6.98E+01,2.04E+00,3.38E+02,3.76E+04,-1.00E+03,-1.48E+01,-1.88E+02,1.79E+00,2.47E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.01E+01,2.02E+00,3.33E+02,3.73E+04,-9.48E+02,-1.47E+01,-1.87E+02,1.82E+00,3.28E-01
7.23E+01,1.68E+03,6.99E+01,2.02E+00,3.34E+02,3.74E+04,-9.54E+02,-1.47E+01,-1.87E+02,1.84E+00,3.02E-01
7.24E+01,1.69E+03,7.01E+01,2.03E+00,3.36E+02,3.75E+04,-9.68E+02,-1.47E+01,-1.87E+02,1.85E+00,3.11E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.01E+01,2.02E+00,3.33E+02,3.73E+04,-9.48E+02,-1.47E+01,-1.87E+02,1.82E+00,3.28E-01
7.23E+01,1.69E+03,6.99E+01,2.03E+00,3.34E+02,3.74E+04,-9.56E+02,-1.47E+01,-1.87E+02,1.84E+00,3.10E-01
7.22E+01,1.68E+03,6.90E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.14E-01
7.23E+01,1.68E+03,6.99E+01,2.01E+00,3.33E+02,3.73E+04,-9.45E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.68E+03,7.01E+01,2.02E+00,3.33E+02,3.73E+04,-9.48E+02,-1.47E+01,-1.87E+02,1.82E+00,3.28E-01
7.23E+01,1.67E+03,6.89E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.49E+01,-1.86E+02,1.85E+00,3.31E-01
7.22E+01,1.68E+03,6.90E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.14E-01
7.23E+01,1.68E+03,6.98E+01,2.01E+00,3.33E+02,3.73E+04,-9.44E+02,-1.47E+01,-1.87E+02,1.82E+00,3.13E-01
7.23E+01,1.67E+03,6.89E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.49E+01,-1.86E+02,1.85E+00,3.31E-01
7.22E+01,1.68E+03,6.90E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.14E-01
7.23E+01,1.68E+03,6.98E+01,2.01E+00,3.33E+02,3.73E+04,-9.44E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.67E+03,6.87E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.48E+01,-1.86E+02,1.85E+00,3.14E-01
7.22E+01,1.68E+03,6.90E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.14E-01
7.23E+01,1.68E+03,6.97E+01,2.01E+00,3.32E+02,3.73E+04,-9.41E+02,-1.47E+01,-1.87E+02,1.82E+00,3.14E-01
7.23E+01,1.67E+03,6.87E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.48E+01,-1.86E+02,1.85E+00,3.14E-01
7.22E+01,1.68E+03,6.89E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.10E-01
7.22E+01,1.68E+03,6.90E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.14E-01
7.23E+01,1.67E+03,6.86E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.13E-01
7.23E+01,1.67E+03,6.87E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.48E+01,-1.86E+02,1.85E+00,3.14E-01
7.22E+01,1.68E+03,6.89E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.10E-01
7.23E+01,1.70E+03,6.93E+01,2.10E+00,3.36E+02,3.79E+04,-9.85E+02,-1.50E+01,-1.87E+02,1.95E+00,2.79E-01
7.23E+01,1.67E+03,6.86E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.13E-01
7.23E+01,1.67E+03,6.87E+01,2.03E+00,3.25E+02,3.71E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.04E-01
7.22E+01,1.68E+03,6.89E+01,2.03E+00,3.28E+02,3.72E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.10E-01
7.23E+01,1.70E+03,6.92E+01,2.10E+00,3.36E+02,3.79E+04,-9.86E+02,-1.50E+01,-1.87E+02,1.95E+00,2.70E-01
7.23E+01,1.67E+03,6.86E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.13E-01
7.23E+01,1.67E+03,6.87E+01,2.03E+00,3.25E+02,3.71E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.85E+00,3.04E-01
7.23E+01,1.69E+03,6.84E+01,2.08E+00,3.26E+02,3.75E+04,-9.41E+02,-1.49E+01,-1.87E+02,1.94E+00,2.73E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.06E-01
7.23E+01,1.67E+03,6.86E+01,2.03E+00,3.25E+02,3.71E+04,-9.15E+02,-1.48E+01,-1.87E+02,1.84E+00,2.99E-01
7.23E+01,1.69E+03,6.84E+01,2.08E+00,3.26E+02,3.75E+04,-9.41E+02,-1.49E+01,-1.87E+02,1.94E+00,2.73E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.02E+02,-1.48E+01,-1.86E+02,1.85E+00,3.07E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.06E-01
7.23E+01,1.67E+03,6.86E+01,2.02E+00,3.24E+02,3.71E+04,-9.07E+02,-1.48E+01,-1.86E+02,1.86E+00,3.07E-01
7.23E+01,1.69E+03,6.84E+01,2.08E+00,3.26E+02,3.75E+04,-9.41E+02,-1.49E+01,-1.87E+02,1.94E+00,2.73E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.02E+02,-1.48E+01,-1.86E+02,1.85E+00,3.07E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.04E+02,-1.48E+01,-1.86E+02,1.85E+00,3.02E-01
7.22E+01,1.67E+03,6.86E+01,2.02E+00,3.24E+02,3.71E+04,-9.07E+02,-1.48E+01,-1.86E+02,1.85E+00,3.08E-01
7.23E+01,1.67E+03,6.85E+01,2.03E+00,3.26E+02,3.72E+04,-9.26E+02,-1.48E+01,-1.87E+02,1.83E+00,2.75E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.02E+02,-1.48E+01,-1.86E+02,1.85E+00,3.03E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.08E-01
7.23E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.71E+04,-9.06E+02,-1.48E+01,-1.86E+02,1.85E+00,3.06E-01
7.23E+01,1.67E+03,6.85E+01,2.03E+00,3.26E+02,3.72E+04,-9.26E+02,-1.48E+01,-1.87E+02,1.83E+00,2.75E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.02E+02,-1.48E+01,-1.86E+02,1.85E+00,3.03E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.03E+02,-1.48E+01,-1.86E+02,1.85E+00,3.08E-01
7.23E+01,1.67E+03,6.85E+01,2.03E+00,3.26E+02,3.72E+04,-9.26E+02,-1.48E+01,-1.87E+02,1.83E+00,2.75E-01
7.28E+01,1.72E+03,7.08E+01,2.09E+00,3.47E+02,3.82E+04,-1.01E+03,-1.54E+01,-1.87E+02,1.92E+00,2.74E-01
7.22E+01,1.67E+03,6.85E+01,2.02E+00,3.24E+02,3.70E+04,-9.02E+02,-1.48E+01,-1.86E+02,1.85E+00,3.03E-01
7.23E+01,1.67E+03,6.86E+01,2.02E+00,3.25E+02,3.71E+04,-9.12E+02,-1.48E+01,-1.87E+02,1.85E+00,2.98E-01
